Word,Count
,2
はい,65
、,540
ありがとう,17
ござい,29
ます,164
。,398
みな,28
さん,51
こんばんは,1
～,6
ふふ,3
画面,6
で,273
うなずい,2
て,316
くれる,4
と,223
とっても,3
嬉しい,4
です,362
一応,13
たてつけ,1
上,2
は,156
さま,19
の,280
まぁ,10
いわゆる,1
担任,2
みたい,17
な,69
ところ,53
に,198
なり,12
か,117
ね,260
チャット,3
も,107
是非,11
盛り上げ,1
ください,47
講師,3
森,4
名前,3
が,115
次,14
楓,3
木,2
風,2
書い,3
かえで,1
漢字,1
パーツ,1
五,4
つ,10
しか,2
ない,60
その,19
うち,4
四,1
個,6
構成,1
さ,8
れ,11
いる,24
って,39
いう,88
あの,16
いかに,1
SDGｓ,1
感,2
ある,9
趣味,1
宇宙,3
物理,1
学,1
あり,10
けれど,6
好き,3
？,2
なん,22
ここ,14
なぜ,1
過去,1
覚え,4
未来,1
い,21
こんな,7
こと,37
を,135
日々,3
ずーっと,1
考え,4
おり,17
あと,16
ちょっと,22
おじ,1
くさい,1
しれ,4
ませ,16
ん,72
ファイナル,1
ファンタジー,1
大好き,2
そして,4
スイーツ,1
毎週,1
日曜,1
日,8
作っ,5
ギャップ,1
持ち,1
えーっと,1
経歴,1
し,129
学生,1
時代,1
化学,2
専攻,2
まし,31
た,88
物資,1
工学,1
科,1
から,45
一生,4
懸命,3
よく,5
わから,3
怪しい,1
色,1
液体,1
混ぜ,1
たり,5
爆発,1
よう,15
頑張っ,2
突如,1
AI,2
する,25
形,4
プログラミング,1
全く,1
わかん,2
もう,13
これ,39
日本,1
語,1
じゃ,11
じゃん,1
本当,3
わかり,4
私,31
情報,13
へ,1
行っ,4
タイミング,5
死ぬ,2
ほど,2
勉強,14
ようやく,1
所,1
立てる,1
状態,2
ちゃんと,5
コツコツ,1
続け,3
いけ,1
ば,27
できる,10
まず,3
存在,1
一,9
保障,1
どの,2
つまずく,1
感じ,8
たら,15
いい,19
よ,27
フォロー,1
思い,46
気軽,2
どんな,4
スラック,4
DM,1
等,3
聞い,2
いただけれ,8
よろしく,5
お,57
願い,14
いたし,7
僕,3
筋トレ,1
ご,7
協力,1
ぅ,1
長期,3
コース,3
研修,1
全部,4
問わ,1
ず,3
今回,7
スクワット,1
気分,1
次回,17
オン,2
いただける,3
非常,2
やり,3
やすい,5
めちゃくちゃ,2
もっ,2
たぶん,4
後ほど,1
グループ,6
ワーク,5
やる,5
思う,4
けど,13
やっぱ,1
相手,2
人,9
分から,1
不安,2
それ,18
同じ,3
思っ,7
だ,7
この,23
思わ,2
なるべく,5
いただい,5
オフ,1
方,32
今度,1
逆,2
積極,1
的,17
リアクション,1
コメント,2
残し,2
チーム,12
学習,23
ほんと,1
皆,40
使っ,4
頂い,8
大丈夫,3
もくもく,4
会,19
避ける,1
方針,1
手,1
動かす,1
発言,2
意識,2
内容,21
決め,2
頂けれ,5
だけ,14
最後,16
いく,7
共有,7
事項,1
再度,1
簡単,3
あー,5
最初,4
しまい,9
失礼,2
予告,8
いこう,1
前,2
スペシャル,2
サンクス,2
slack,1
送っ,1
脇山,5
新井,1
投稿,4
火種,1
くれ,5
ファースト,1
ペンギン,1
わたくし,1
個人,2
拍手,2
送り,1
たい,39
ついに,2
主催,3
者,2
現れ,1
キカガク,1
社内,1
若干,1
話題,1
なっ,16
ぜひ,11
顔,1
出し,5
参加,15
もし,3
講義,4
外,3
会える,1
アプリ,3
確か,1
Skype,2
やっ,16
あっ,1
なー,2
基本,4
大体,1
zoom,1
Googlemeet,1
色々,1
試し,1
み,18
様,15
最適,1
解,1
いっ,5
今日,19
一言,7
得,2
られる,2
もの,14
与えよう,1
おい,1
通り,4
誰,5
ずっと,3
しゃべっ,2
てる,7
黙る,2
なく,14
むしろ,2
一番,2
状況,1
残り,1
メンバー,1
作る,5
宿題,4
多,3
変量,3
解析,3
また,26
難し,1
そう,16
ネタバレ,2
直線,1
書く,2
いき,10
月曜,3
動画,15
実践,3
Ⅰ,4
二,2
基礎,1
だっ,8
まで,18
見,7
ついで,1
終了,9
要件,5
章末,18
問題,30
眺め,1
でしょう,1
たしか,1
Q,1
5,1
くらい,5
相関,2
回帰,5
分析,14
間,3
見る,1
およそ,1
半分,1
以上,5
実力,2
理論,1
解ける,2
各自,2
解い,2
話し合う,1
時間,14
結構,2
10,3
分間,3
遅れ,1
申し訳,4
残っ,1
いただき,12
笑顔,2
会い,8
楽しみ,3
わけ,7
つかれ,1
でし,7
やすみ,8
なさい,11
オーバー,1
話さ,2
せ,8
あまり,2
主,4
成分,4
話,10
クラスタリング,6
しよう,2
理解,2
できれ,3
修了,4
ヤツ,1
今月,4
中,7
終わら,4
告知,2
なる,12
LT,1
いつ,1
行い,1
アウトプット,6
ましょう,5
喋っ,2
もしくは,2
チューター,1
最,1
先端,1
より,3
分かり,1
やすく,1
統計,4
仮説,4
検定,4
つい,3
解説,1
まだ,5
時期,1
詳細,1
未定,1
目標,2
全員,3
複数,1
回,5
喋り,1
５,1
分,5
１０,1
短い,1
負担,1
なら,5
程度,2
機会,2
設け,1
後半,2
自走,2
期間,1
三,4
ヶ月,1
中心,1
来月,2
ずつ,2
入れ,6
事実,2
解釈,2
切り分けよ,1
言う,2
分けれる,1
加える,1
データ,25
サイエンス,7
甘く,1
きれい,2
ばかり,1
用,1
今,7
すら,1
かなり,5
実際,4
もっと,2
ほとんど,4
使い物,1
ほぼ,4
カテゴリカル,1
３００,1
列,2
１０００,1
扱う,1
現場,1
あくまで,1
接待,1
ひと,3
了承,1
予習,3
チェック,3
３,1
番,1
解け,3
しっかり,3
今週,2
締め,4
無茶,1
ぶり,1
宝,3
喋れ,1
声,1
疲れ,7
意味,3
込め,1
いただけ,1
卒業,1
めでとう,1
寂しい,2
来週,5
末,1
来,2
遅く,1
本日,12
解散,1
ごめん,5
結局,1
過ぎ,4
え,4
アンケート,8
記述,1
でき,18
あした,1
以降,3
おそらく,1
解放,1
おもい,1
改善,1
ため,3
使え,1
使う,1
ふう,3
おもっ,1
ひとこと,1
公式,2
ドキュメント,2
読む,2
こそ,5
○,2
よろしけれ,2
ながめ,1
朗報,1
えー,15
直感,2
単元,2
視覚,1
さいご,1
優しい,1
取り組ん,2
一部,1
そもそも,1
指定,1
悪い,1
クレーム,1
現状,1
さえ,1
みれ,1
クリア,4
ねがい,1
明日,2
忘れ,3
しまう,1
送ら,1
回答,4
ほう,1
言い,3
うい,1
伸び,1
手短,1
とりあえず,1
こちら,2
用意,3
もらう,2
見つける,6
偉,1
演習,6
欲しい,5
要望,1
いっぱい,5
サポート,1
もちろん,2
作り,2
サイエンティスト,1
課題,2
対し,2
何,10
施策,1
行う,2
責任,1
持っ,3
与え,2
具体,1
この世,2
転がっ,2
無限,1
何百,2
何千,2
自分,6
ポケモン,2
記事,2
笑い,2
結果,2
松本,1
厳しい,2
みんな,1
知っ,3
られ,3
取っ,5
きか,1
1,8
on,3
目的,3
サイクル,3
ステップ,2
くる,6
そこ,3
回す,1
与える,1
人間,4
自ら,1
獲得,1
発信,1
自信,2
6,1
カ月,2
終わっ,3
我々,3
メッセージ,2
総,1
続き,1
入っ,7
早い,1
向け,1
使い,1
メソッド,1
使える,1
ヒント,2
うれしい,1
なかっ,3
体力,1
不足,1
合格,7
膳立て,1
直接,1
メンション,1
定期,2
済ん,1
連絡,2
関し,2
すでに,2
他,2
諸々,2
率直,1
意見,1
今後,1
反映,1
木曜,5
さー,2
コンビニ,1
発表,5
直前,1
なかなか,2
前半,1
先ほど,2
言っ,6
まとめ,2
ノートブック,1
形式,1
スライド,5
わざわざ,1
必要,2
内,1
とこ,1
プライベート,1
なくなっ,1
リーダー,2
任せる,1
べく,1
最低,2
限,2
致し,1
人生,5
単位,3
走り,2
下さい,2
出,3
出れ,4
モチベーション,1
重要,1
そんな,4
月,3
何十,1
年,3
時,4
越え,1
てく,1
続ける,1
実,1
拝見,1
見切っ,1
イントロダクション,1
たな,1
悲しい,1
いらっしゃい,4
バー,2
視聴,3
ずらし,1
付け,1
金,4
もぎ取り,1
確実,2
以外,1
腕試し,1
がてら,1
絶対,1
プラス,1
タイタニック,1
面白い,1
これる,1
先週,1
段階,1
見つけ,1
許す,1
限り,2
マシン,1
ラーニング,2
機械,5
入り,2
先,3
済み,1
分かる,1
中身,1
復習,1
登場,1
どう,5
納得,1
行か,1
進め,2
心配,1
安心,3
新た,1
学ぶ,1
気持ち,2
早く,1
さよなら,1
ばい,2
添え,1
別れ,3
アルバート,1
・,1
アインシュタイン,1
舌,2
科学,1
超絶,1
天才,2
言葉,3
紹介,3
あのー,11
全然,3
モリ,1
引退,1
伝え,1
努力,3
凡才,1
つづけ,1
凄い,1
完全,1
わすれ,1
代わり,1
色んな,2
開い,2
後,3
40,1
スカイプ,2
芳賀,3
たまに,2
陣,2
水曜,1
15,2
ちゃ,1
もったい,1
す,2
べき,1
スレッド,1
当日,1
行け,1
さみしい,1
返信,1
ゼロ,1
シーン,1
終わる,1
スタンプ,1
ボタン,2
嘘,1
押し,2
開き,1
そ,1
作業,2
助け,1
あげ,1
論文,2
コーナー,1
たて,1
よっ,3
なんか,2
食べ,1
菓子,1
ペット,1
可愛いい,1
どんどん,1
暴れ,1
散らかし,1
ア,1
見せよう,1
えーとー,1
か月,4
